Year,EconomyTotal,AgroRuralDev,PublicAmenities,TradeAndIndustry,Transport,Connectivity,Environment,OtherEconomy,SocialTotal,EducationTraining,Health,Housing,OtherSocial,SafetyTotal,Defence,HomelandSecurity,PublicAdmin,Total
1970,451,198,20,100,80,53,,0,80,44,20,11,5,172,172,0,22,725
1971,703,235,31,260,148,29,,0,144,86,23,27,8,217,217,0,21,1085
1972,836,307,42,177,234,76,,0,171,112,27,15,17,211,184,27,24,1242
1973,786,334,49,180,184,39,,0,200,142,34,12,12,110,70,40,32,1128
1974,1313,436,55,462,314,46,,0,277,187,42,33,15,242,148,94,46,1878
1975,1398,506,118,223,486,65,,0,328,212,57,31,28,229,116,113,196,2151
1976,1550,514,133,296,561,46,,0,316,227,47,29,13,435,338,97,77,2378
1977,2129,591,250,417,652,219,,0,452,274,44,122,12,470,351,119,166,3217
1978,2529,716,339,601,637,236,,0,614,252,48,294,20,491,316,175,148,3782
1979,2511,877,395,348,675,216,,0,962,339,59,427,137,713,530,183,95,4281
1980,4816,1138,665,1554,1031,428,,,1185,558,80,295,252,1222,812,410,240,7463
1981,6794,1481,748,3091,1272,202,,0,2456,791,118,1231,316,1839,1381,458,269,11358
1982,5967,1550,865,1143,1970,439,,0,3249,1082,150,1589,428,2065,1646,419,204,11485
1983,5779,1187,1027,1291,1652,622,,0,1997,988,156,556,297,1726,1391,335,168,9670
1984,5061,1122,1132,685,1193,929,,0,2223,1009,125,908,181,1005,872,133,118,8407
1985,4303,1287,789,557,1052,618,,0,2093,872,112,972,137,629,480,149,117,7142
1986,4538,1144,683,523,1408,780,,0,2534,1064,118,1054,298,384,218,166,103,7559
1987,3255,924,648,622,1046,0,,15,1031,810,53,79,89,333,124,209,122,4741
1988,3585,1010,656,834,1065,4,,16,1165,865,69,58,173,360,195,165,121,5231
1989,4119,1140,468,948,1545,2,,16,1947,1242,218,182,305,846,614,232,784,7696
1990,6701,1298,798,2726,1845,2,,32,2617,1634,461,43,479,1061,738,323,310,10689
1991,4684,1126,681,969,1897,1,,10,2426,1285,572,66,503,2211,1866,345,244,9565
1992,4504,1098,834,648,1896,4,,24,2653,1205,602,94,752,2173,1629,544,358,9688
1993,5265,1276,610,660,2678,5,,36,2220,1117,425,167,511,2258,1729,529,381,10124
1994,5289,1342,790,961,2158,5,,33,3285,2010,354,359,562,2360,2166,194,343,11277
1995,6440,1360,654,1218,3151,14,,43,3513,2044,388,403,678,2888,2474,414,1210,14051
1996,7693,1182,733,1212,4530,2,,34,3984,2091,459,501,933,2438,2061,377,513,14628
1997,7501,1105,1496,1285,3578,4,,33,4919,2521,449,735,1214,2314,1814,500,1015,15749
1998,9243,960,1968,3227,3062,3,,23,5783,2915,716,1030,1122,1380,1017,363,1697,18103
1999,8970,1089,1850,2798,2893,289,,51,6935,3865,835,1081,1154,3122,2792,330,3588,22615
2000,11639,1183,1517,3667,4683,228,,181,11076,7099,1272,1194,1511,2332,1854,478,2894,27941
2001,12725,1394,1092,4830,5042,330,,37,15384,10363,1570,1269,2182,3287,2572,715,3839,35235
2002,12434,1364,1808,3474,5401,282,,105,18043,12436,1503,1808,2296,4333,3385,948,1167,35977
2003,13793,1620,920,3456,7354,403,,40,17707,10193,2681,1928,2905,6029,4936,1093,1824,39353
2004,11851,2881,945,1201,6630,125,,69,10260,4316,2352,1593,1999,4133,3685,448,2620,28864
2005,14957,2482,1481,3221,7660,105,,8,7450,3736,1220,1082,1412,4803,4065,738,3324,30534
2006,17403,3999,2244,3389,7751,8,,12,9525,5349,1298,1347,1531,4803,3530,1273,4076,35807
2007,20116,3842,2358,4904,8500,105,,407,12892,6271,1496,2947,2178,5703,4102,1601,1853,40564
2008,21353,4184,2795,4581,9212,334,,247,13717.4,7891.7,1652,1779.7,2394,5779,4120,1659,1998,42847.4
2009,26440,5508,2899,4916,9450,618,,3049,17389,10827,2575,1395,2592,3956.3,2662.5,1293.8,1730,49515.3
2010,26120.6,2920,5286,6987.3,8665.3,688,,1574,20784,12046,3780,1333,3625,3970,2666,1304,1917,52791.6
2011,28155.711,1127.929,6012.548,8364.453,10140.18,848.05,,1662.551,12606.699,7734.818,2206.813,761.709,1903.359,4568.565,3711.396,857.169,1085.376,46416.351
2012,28936.497,1906.346,5518.639,5042.904,10065.314,455.349,,5947.945,12399.215,7549.623,1863.86,524.151,2461.581,4409.418,3589.652,819.766,1187.322,46932.452
2013,24645.545,2691.854,3331.861,6243.902,8152.235,187.397,,4038.296,10883.591,6437.86,1738.461,851.59,1855.68,4649.052,4038.464,610.588,2031.611,42209.799
2014,23337,2875,3485,4688,7270,176,1826,3017,10490,4928,1385,618,3559,4332.220506,3751,581,1344,39503.22051
2015,23286,3105,3637,5638,6693,1,1331,2881,11160,4758,1442,2008,2952,4754,4078,676,1568,40768
2016,25113,2902,2927,4841,7827,5,2346,4265,10429,3727,1495,2238,2969,4832,3945,887,1621,41995
2017,24186,2219,2475,3800,10429,126,2061,3076,12425,6306,1470,785,3864,5334,4315,1019,2939,44884
2018,26342.0844,2523,2746,4149,10479,105,2013.0844,4327,11720,5256,1910,1167,3387,5214,3842,1372,2724,46000.0844
